ts,account,symbol,side,size_usd,collateral,execution_price,leverage,order_type,pnl
1768308630123934000,25,ETH-USD,Sell,494828196,164447904,3131824036,3,Increase,0
1768308630123934000,24,ETH-USD,Buy,315061497,104768450,3131824036,3,Increase,0
1768308630423934000,27,ETH-USD,Sell,895701672,297671523,3131824036,3,Increase,0
1768308630423934000,22,ETH-USD,Buy,391478004,130179486,3131824036,3,Increase,0
1768308630423934000,23,ETH-USD,Sell,846218853,281226733,3131824036,3,Increase,0
1768308630423934000,26,ETH-USD,Buy,786087831,261400407,3131824036,3,Increase,0
1768308630523934000,20,ETH-USD,Buy,330720618,109975630,3131824036,3,Increase,0
1768308630523934000,21,ETH-USD,Sell,764791428,254165685,3131824036,3,Increase,0
1768308632023934000,30,ETH-USD,Buy,2159392672,1077968822,3131824036,2,Increase,0
1768308632023934000,31,ETH-USD,Sell,2384884002,1190057117,3131824036,2,Increase,0
1768308633023934000,33,ETH-USD,Sell,1648898460,822800332,3131810943,2,Increase,0
1768308633023934000,32,ETH-USD,Buy,2167213172,1081872816,3131810943,2,Increase,0
1768308634023934000,34,ETH-USD,Buy,1935459162,965794122,3131810943,2,Increase,0
1768308634023934000,35,ETH-USD,Sell,2220439110,1107999116,3131790000,2,Increase,0
1768308635023934000,37,ETH-USD,Sell,3643211306,1817962442,3131790000,2,Increase,0
1768308635023934000,36,ETH-USD,Buy,3759400714,1876692837,3131790000,2,Increase,0
1768308638023934000,41,ETH-USD,Sell,4168395814,2080029512,3131777472,2,Increase,0
1768308638023934000,40,ETH-USD,Buy,6047496144,3018910076,3131795000,2,Increase,0
1768308640023934000,42,ETH-USD,Buy,5436814420,2712970396,3131805542,2,Increase,0
1768308640023934000,43,ETH-USD,Sell,5605931920,2798481215,3131805542,2,Increase,0
1768308640523934000,21,ETH-USD,Sell,764791428,254165685,3131805542,0,Decrease,-1048962
1768308640523934000,20,ETH-USD,Buy,330720618,109975630,3131805542,0,Decrease,-456890
1768308641023934000,21,ETH-USD,Sell,702777162,233696833,3131805542,3,Increase,0
1768308641023934000,20,ETH-USD,Buy,397739301,132182028,3131805542,3,Increase,0
1768308642723934000,25,ETH-USD,Sell,494828196,164447904,3131920000,0,Decrease,-678690
1768308642723934000,24,ETH-USD,Buy,315061497,104768450,3131920000,0,Decrease,-412244
1768308643423934000,24,ETH-USD,Buy,403391295,134060374,3131920000,3,Increase,0
1768308643423934000,25,ETH-USD,Sell,686516862,228289741,3131920000,3,Increase,0
1768308645423934000,22,ETH-USD,Buy,391478004,130179486,3132000000,0,Decrease,-514834
1768308645423934000,23,ETH-USD,Sell,846218853,281226733,3132000000,0,Decrease,-1209539
1768308646023934000,22,ETH-USD,Buy,848772000,282075228,3132000000,3,Increase,0
1768308646023934000,23,ETH-USD,Sell,737900376,245376472,3132005000,3,Increase,0
1768308648823934000,27,ETH-USD,Sell,895701672,297671523,3131975000,0,Decrease,-1280268
1768308648823934000,26,ETH-USD,Buy,786087831,261400407,3131975000,0,Decrease,-1046329
1768308649623934000,26,ETH-USD,Buy,733508544,243769340,3131975000,3,Increase,0
1768308649623934000,27,ETH-USD,Sell,715343088,237875422,3131975000,3,Increase,0
1768308651023934000,20,ETH-USD,Buy,397739301,132182028,3131976565,0,Decrease,-621399
1768308651023934000,21,ETH-USD,Sell,702777162,233696833,3131976565,0,Decrease,-1176304
1768308651523934000,21,ETH-USD,Sell,855029601,284325844,3131976565,3,Increase,0
1768308651523934000,20,ETH-USD,Buy,322593585,107208602,3131976565,3,Increase,0
1768308652023934000,50,ETH-USD,Buy,9815657172,4898012929,3131990164,2,Increase,0
1768308652023934000,51,ETH-USD,Sell,8468901402,4227675580,3131990164,2,Increase,0
1768308656023934000,24,ETH-USD,Buy,403391295,134060374,3132005329,0,Decrease,-576168
1768308656023934000,25,ETH-USD,Sell,686516862,228289741,3132005329,0,Decrease,-1019284
1768308656723934000,24,ETH-USD,Buy,618883200,205675517,3132000000,3,Increase,0
1768308656723934000,25,ETH-USD,Sell,881971197,293284823,3132000000,3,Increase,0
1768308658023934000,53,ETH-USD,Sell,11669832000,5823246168,3132000000,2,Increase,0
1768308658023934000,52,ETH-USD,Buy,13229568000,6604200346,3132000000,2,Increase,0
1768308661023934000,23,ETH-USD,Sell,737900376,245376472,3131927740,0,Decrease,-1091132
1768308661023934000,22,ETH-USD,Buy,848772000,282075228,3131927740,0,Decrease,-1295196
1768308661523934000,21,ETH-USD,Sell,855029601,284325844,3131927740,0,Decrease,-1472576
1768308661523934000,20,ETH-USD,Buy,322593585,107208602,3131927740,0,Decrease,-564611
1768308661623934000,22,ETH-USD,Buy,372073014,123652265,3131927740,3,Increase,0
1768308661623934000,23,ETH-USD,Sell,700299042,232872775,3131927740,3,Increase,0
1768308662023934000,20,ETH-USD,Buy,616989762,205046265,3131927740,3,Increase,0
1768308662023934000,30,ETH-USD,Buy,2159392672,1077968822,3131927740,0,Decrease,-3154337
1768308662023934000,31,ETH-USD,Sell,2384884002,1190057117,3131927740,0,Decrease,-3393036
1768308662023934000,21,ETH-USD,Sell,466657233,155179086,3131927740,3,Increase,0
1768308664023934000,31,ETH-USD,Sell,2148502428,1072532413,3131927740,2,Increase,0
1768308664023934000,30,ETH-USD,Buy,2757662374,1376073525,3131927740,2,Increase,0
1768308668023934000,26,ETH-USD,Buy,733508544,243769340,3131950000,0,Decrease,-1115775
1768308668023934000,27,ETH-USD,Sell,715343088,237875422,3131950000,0,Decrease,-1078236
1768308668823934000,26,ETH-USD,Buy,686524536,228154988,3131955000,3,Increase,0
1768308668823934000,27,ETH-USD,Sell,1130635755,375974077,3131955000,3,Increase,0
1768308669323934000,24,ETH-USD,Buy,618883200,205675517,3131955000,0,Decrease,-1049285
1768308669323934000,25,ETH-USD,Sell,881971197,293284823,3131955000,0,Decrease,-1472321
1768308670023934000,24,ETH-USD,Buy,636412239,211501001,3131950000,3,Increase,0
1768308670023934000,25,ETH-USD,Sell,657709500,218710333,3131950000,3,Increase,0
1768308672023934000,21,ETH-USD,Sell,466657233,155179086,3131950000,0,Decrease,-663514
1768308672023934000,20,ETH-USD,Buy,616989762,205046265,3131950000,0,Decrease,-932647
1768308672523934000,20,ETH-USD,Buy,314447778,104501479,3131950000,3,Increase,0
1768308672523934000,21,ETH-USD,Sell,934573878,310776967,3131950000,3,Increase,0
1768308676623934000,22,ETH-USD,Buy,372073014,123652265,3131950000,0,Decrease,-647889
1768308676623934000,23,ETH-USD,Sell,700299042,232872775,3131950000,0,Decrease,-1231377
1768308677223934000,23,ETH-USD,Sell,351404790,116853807,3131950000,3,Increase,0
1768308677223934000,22,ETH-USD,Buy,787372227,261670037,3131950000,3,Increase,0
1768308678023934000,32,ETH-USD,Buy,2167213172,1081872816,3131950000,0,Decrease,-3417130
1768308678023934000,33,ETH-USD,Sell,1648898460,822800332,3131960000,0,Decrease,-2370663
1768308680523934000,33,ETH-USD,Sell,2748286124,1371944434,3131950000,2,Increase,0
1768308680523934000,32,ETH-USD,Buy,1691253000,843935247,3131950000,2,Increase,0
1768308682523934000,21,ETH-USD,Sell,934573878,310776967,3131971230,0,Decrease,-1417089
1768308682523934000,20,ETH-USD,Buy,314447778,104501479,3131971230,0,Decrease,-471862
1768308682623934000,25,ETH-USD,Sell,657709500,218710333,3131971230,0,Decrease,-997281
1768308682623934000,24,ETH-USD,Buy,636412239,211501001,3131971230,0,Decrease,-955003
1768308683023934000,20,ETH-USD,Buy,774849681,257508378,3131971230,3,Increase,0
1768308683023934000,21,ETH-USD,Sell,757310643,251831033,3131971230,3,Increase,0
1768308683323934000,24,ETH-USD,Buy,563128425,187146347,3131971230,3,Increase,0
1768308683323934000,25,ETH-USD,Sell,900128529,299322741,3131971230,3,Increase,0
1768308687223934000,26,ETH-USD,Buy,686524536,228154988,3131880000,0,Decrease,-1098777
1768308687223934000,27,ETH-USD,Sell,1130635755,375974077,3131880000,0,Decrease,-1758629
1768308687523934000,36,ETH-USD,Buy,3759400714,1876692837,3131880000,0,Decrease,-5046370
1768308687523934000,37,ETH-USD,Sell,3643211306,1817962442,3131880000,0,Decrease,-5106721
1768308688023934000,27,ETH-USD,Sell,984036696,327225003,3131880000,3,Increase,0
1768308688023934000,26,ETH-USD,Buy,1169447499,388646386,3131889395,3,Increase,0
1768308691023934000,37,ETH-USD,Sell,3242122176,1618467391,3131880000,2,Increase,0
1768308691023934000,36,ETH-USD,Buy,3248699124,1621100863,3131880000,2,Increase,0
1768308692223934000,23,ETH-USD,Sell,351404790,116853807,3131643676,0,Decrease,-566359
