ts,symbol,price_min,price_max,price_mid
1768308629923934000,ETH-USD,3129689673,3133958399,3131824036
1768308631923934000,ETH-USD,3129663487,3133958399,3131810943
1768308633923934000,ETH-USD,3129621600,3133958400,3131790000
1768308635923934000,ETH-USD,3129283812,3134271132,3131777472
1768308637923934000,ETH-USD,3129631600,3133958400,3131795000
1768308639923934000,ETH-USD,3129628832,3133982252,3131805542
1768308641923934000,ETH-USD,3129857748,3133982252,3131920000
1768308643923934000,ETH-USD,3129836916,3134163084,3132000000
1768308645923934000,ETH-USD,3129846916,3134163084,3132005000
1768308647923934000,ETH-USD,3129786916,3134163084,3131975000
1768308649923934000,ETH-USD,3129085943,3134867187,3131976565
1768308651923934000,ETH-USD,3129817244,3134163084,3131990164
1768308653923934000,ETH-USD,3129505952,3134504706,3132005329
1768308655923934000,ETH-USD,3129544440,3134455560,3132000000
1768308657923934000,ETH-USD,3129846916,3134163084,3132005000
1768308659923934000,ETH-USD,3129380462,3134475018,3131927740
1768308661923934000,ETH-USD,3129713116,3134142364,3131927740
1768308663923934000,ETH-USD,3129736916,3134163084,3131950000
1768308665923934000,ETH-USD,3129395557,3134504443,3131950000
1768308667923934000,ETH-USD,3129141245,3134768755,3131955000
1768308669923934000,ETH-USD,3129736916,3134163084,3131950000
1768308671923934000,ETH-USD,3129736916,3134163084,3131950000
1768308673923934000,ETH-USD,3129390546,3134496926,3131943736
1768308675923934000,ETH-USD,3129016963,3134883037,3131950000
1768308677923934000,ETH-USD,3129756916,3134163084,3131960000
1768308679923934000,ETH-USD,3129736916,3134163084,3131950000
1768308681923934000,ETH-USD,3129459941,3134482519,3131971230
1768308683923934000,ETH-USD,3129439949,3134455559,3131947754
1768308685923934000,ETH-USD,3129751582,3134008418,3131880000
1768308687923934000,ETH-USD,3129705388,3134073402,3131889395
1768308689923934000,ETH-USD,3129797761,3133962239,3131880000
1768308691923934000,ETH-USD,3129227353,3134059999,3131643676
1768308693923934000,ETH-USD,3129286556,3133753442,3131519999
1768308695923934000,ETH-USD,3129243364,3133756634,3131499999
1768308697923934000,ETH-USD,3129306924,3133613076,3131460000
1768308699923934000,ETH-USD,3129336924,3133613076,3131475000
1768308701923934000,ETH-USD,3129266924,3133613076,3131440000
1768308703923934000,ETH-USD,3129375565,3133491909,3131433737
1768308705923934000,ETH-USD,3128954435,3133811827,3131383131
1768308707923934000,ETH-USD,3129317046,3133562954,3131440000
1768308709923934000,ETH-USD,3129356963,3133562953,3131459958
1768308711923934000,ETH-USD,3129043706,3133895000,3131469353
1768308713923934000,ETH-USD,3128210001,3133599999,3130905000
1768308715923934000,ETH-USD,3127843535,3133230671,3130537103
1768308717923934000,ETH-USD,3127497161,3132992839,3130245000
1768308719923934000,ETH-USD,3127892023,3132313213,3130102618
1768308721923934000,ETH-USD,3127697609,3132308651,3130003130
1768308723923934000,ETH-USD,3127519827,3132645089,3130082458
1768308725923934000,ETH-USD,3128011714,3132188284,3130099999
1768308727923934000,ETH-USD,3127967686,3132188284,3130077985
1768308729923934000,ETH-USD,3127666979,3132504829,3130085904
1768308731923934000,ETH-USD,3127978734,3132188284,3130083509
1768308733923934000,ETH-USD,3127981775,3132188285,3130085030
1768308735923934000,ETH-USD,3127981775,3132188285,3130085030
1768308737923934000,ETH-USD,3127953910,3132188284,3130071097
1768308739923934000,ETH-USD,3127977144,3132188284,3130082714
1768308741923934000,ETH-USD,3128002184,3132188284,3130095234
1768308743923934000,ETH-USD,3127365776,3132817514,3130091645
1768308745923934000,ETH-USD,3128191874,3132198288,3130195081
1768308747923934000,ETH-USD,3128413385,3132536675,3130475030
1768308749923934000,ETH-USD,3128763004,3132946996,3130855000
1768308751923934000,ETH-USD,3128806331,3132934977,3130870654
1768308753923934000,ETH-USD,3128758408,3132935106,3130846757
1768308755923934000,ETH-USD,3128780335,3132935007,3130857671
1768308757923934000,ETH-USD,3128516898,3133148350,3130832624
1768308759923934000,ETH-USD,3128541650,3133148350,3130845000
