ts,from,to,msg_type,symbol,side,price,qty
1768308630023934000,25,1,MarketOrder,ETH-USD,Sell,,0.158
1768308630023934000,24,1,MarketOrder,ETH-USD,Buy,,0.10060000000000001
1768308630323934000,26,1,MarketOrder,ETH-USD,Buy,,0.251
1768308630323934000,27,1,MarketOrder,ETH-USD,Sell,,0.28600000000000003
1768308630323934000,22,1,MarketOrder,ETH-USD,Buy,,0.125
1768308630323934000,23,1,MarketOrder,ETH-USD,Sell,,0.2702
1768308630423934000,20,1,MarketOrder,ETH-USD,Buy,,0.1056
1768308630423934000,21,1,MarketOrder,ETH-USD,Sell,,0.2442
1768308631923934000,30,1,MarketOrder,ETH-USD,Buy,,0.6895
1768308631923934000,31,1,MarketOrder,ETH-USD,Sell,,0.7615000000000001
1768308632923934000,33,1,MarketOrder,ETH-USD,Sell,,0.5265
1768308632923934000,32,1,MarketOrder,ETH-USD,Buy,,0.692
1768308633923934000,34,1,MarketOrder,ETH-USD,Buy,,0.618
1768308633923934000,35,1,MarketOrder,ETH-USD,Sell,,0.709
1768308634923934000,37,1,MarketOrder,ETH-USD,Sell,,1.1633
1768308634923934000,36,1,MarketOrder,ETH-USD,Buy,,1.2004
1768308637923934000,41,1,MarketOrder,ETH-USD,Sell,,1.331
1768308637923934000,40,1,MarketOrder,ETH-USD,Buy,,1.931
1768308639923934000,43,1,MarketOrder,ETH-USD,Sell,,1.79
1768308639923934000,42,1,MarketOrder,ETH-USD,Buy,,1.736
1768308640923934000,21,1,MarketOrder,ETH-USD,Sell,,0.2244
1768308640923934000,20,1,MarketOrder,ETH-USD,Buy,,0.127
1768308643323934000,24,1,MarketOrder,ETH-USD,Buy,,0.1288
1768308643323934000,25,1,MarketOrder,ETH-USD,Sell,,0.2192
1768308645923934000,23,1,MarketOrder,ETH-USD,Sell,,0.2356
1768308645923934000,22,1,MarketOrder,ETH-USD,Buy,,0.271
1768308649523934000,26,1,MarketOrder,ETH-USD,Buy,,0.23420000000000002
1768308649523934000,27,1,MarketOrder,ETH-USD,Sell,,0.22840000000000002
1768308651423934000,21,1,MarketOrder,ETH-USD,Sell,,0.273
1768308651423934000,20,1,MarketOrder,ETH-USD,Buy,,0.10300000000000001
1768308651923934000,51,1,MarketOrder,ETH-USD,Sell,,2.7039999999999997
1768308651923934000,50,1,MarketOrder,ETH-USD,Buy,,3.134
1768308656623934000,24,1,MarketOrder,ETH-USD,Buy,,0.1976
1768308656623934000,25,1,MarketOrder,ETH-USD,Sell,,0.28159999999999996
1768308657923934000,53,1,MarketOrder,ETH-USD,Sell,,3.726
1768308657923934000,52,1,MarketOrder,ETH-USD,Buy,,4.224
1768308661523934000,23,1,MarketOrder,ETH-USD,Sell,,0.2236
1768308661523934000,22,1,MarketOrder,ETH-USD,Buy,,0.1188
1768308661923934000,21,1,MarketOrder,ETH-USD,Sell,,0.149
1768308661923934000,20,1,MarketOrder,ETH-USD,Buy,,0.197
1768308663923934000,30,1,MarketOrder,ETH-USD,Buy,,0.8805000000000001
1768308663923934000,31,1,MarketOrder,ETH-USD,Sell,,0.6859999999999999
1768308668723934000,26,1,MarketOrder,ETH-USD,Buy,,0.2192
1768308668723934000,27,1,MarketOrder,ETH-USD,Sell,,0.36100000000000004
1768308669923934000,25,1,MarketOrder,ETH-USD,Sell,,0.21000000000000002
1768308669923934000,24,1,MarketOrder,ETH-USD,Buy,,0.2032
1768308672423934000,21,1,MarketOrder,ETH-USD,Sell,,0.2984
1768308672423934000,20,1,MarketOrder,ETH-USD,Buy,,0.1004
1768308677123934000,23,1,MarketOrder,ETH-USD,Sell,,0.11220000000000001
1768308677123934000,22,1,MarketOrder,ETH-USD,Buy,,0.25139999999999996
1768308680423934000,33,1,MarketOrder,ETH-USD,Sell,,0.8775
1768308680423934000,32,1,MarketOrder,ETH-USD,Buy,,0.54
1768308682923934000,20,1,MarketOrder,ETH-USD,Buy,,0.24739999999999998
1768308682923934000,21,1,MarketOrder,ETH-USD,Sell,,0.2418
1768308683223934000,24,1,MarketOrder,ETH-USD,Buy,,0.17980000000000002
1768308683223934000,25,1,MarketOrder,ETH-USD,Sell,,0.2874
1768308687923934000,27,1,MarketOrder,ETH-USD,Sell,,0.31420000000000003
1768308687923934000,26,1,MarketOrder,ETH-USD,Buy,,0.3734
1768308690923934000,37,1,MarketOrder,ETH-USD,Sell,,1.0352000000000001
1768308690923934000,36,1,MarketOrder,ETH-USD,Buy,,1.0373
1768308692723934000,22,1,MarketOrder,ETH-USD,Buy,,0.19019999999999998
1768308692723934000,23,1,MarketOrder,ETH-USD,Sell,,0.1996
1768308693423934000,21,1,MarketOrder,ETH-USD,Sell,,0.1538
1768308693423934000,20,1,MarketOrder,ETH-USD,Buy,,0.1254
1768308695923934000,31,1,MarketOrder,ETH-USD,Sell,,0.888
1768308695923934000,30,1,MarketOrder,ETH-USD,Buy,,0.5325
1768308696523934000,25,1,MarketOrder,ETH-USD,Sell,,0.2652
1768308696523934000,24,1,MarketOrder,ETH-USD,Buy,,0.10200000000000001
1768308696923934000,34,1,MarketOrder,ETH-USD,Buy,,0.694
1768308696923934000,35,1,MarketOrder,ETH-USD,Sell,,0.5345
1768308703923934000,20,1,MarketOrder,ETH-USD,Buy,,0.2808
1768308703923934000,21,1,MarketOrder,ETH-USD,Sell,,0.1666
1768308707123934000,26,1,MarketOrder,ETH-USD,Buy,,0.3654
1768308707123934000,27,1,MarketOrder,ETH-USD,Sell,,0.20900000000000002
1768308708323934000,22,1,MarketOrder,ETH-USD,Buy,,0.123
1768308708323934000,23,1,MarketOrder,ETH-USD,Sell,,0.2528
1768308709823934000,24,1,MarketOrder,ETH-USD,Buy,,0.2802
1768308709823934000,25,1,MarketOrder,ETH-USD,Sell,,0.2348
1768308714423934000,20,1,MarketOrder,ETH-USD,Buy,,0.1784
1768308714423934000,21,1,MarketOrder,ETH-USD,Sell,,0.10020000000000001
1768308723123934000,24,1,MarketOrder,ETH-USD,Buy,,0.28700000000000003
1768308723123934000,25,1,MarketOrder,ETH-USD,Sell,,0.1336
1768308723923934000,22,1,MarketOrder,ETH-USD,Buy,,0.152
1768308723923934000,23,1,MarketOrder,ETH-USD,Sell,,0.1386
1768308724923934000,21,1,MarketOrder,ETH-USD,Sell,,0.1392
1768308724923934000,20,1,MarketOrder,ETH-USD,Buy,,0.128
1768308726323934000,27,1,MarketOrder,ETH-USD,Sell,,0.259
1768308726323934000,26,1,MarketOrder,ETH-USD,Buy,,0.24760000000000001
1768308727923934000,32,1,MarketOrder,ETH-USD,Buy,,0.633
1768308727923934000,33,1,MarketOrder,ETH-USD,Sell,,0.5645
1768308727923934000,31,1,MarketOrder,ETH-USD,Sell,,0.9155
1768308727923934000,30,1,MarketOrder,ETH-USD,Buy,,0.74
1768308732923934000,40,1,MarketOrder,ETH-USD,Buy,,1.556
1768308732923934000,41,1,MarketOrder,ETH-USD,Sell,,1.69
1768308735423934000,20,1,MarketOrder,ETH-USD,Buy,,0.1188
1768308735423934000,21,1,MarketOrder,ETH-USD,Sell,,0.23879999999999998
1768308736423934000,25,1,MarketOrder,ETH-USD,Sell,,0.1428
1768308736423934000,24,1,MarketOrder,ETH-USD,Buy,,0.28259999999999996
1768308739523934000,22,1,MarketOrder,ETH-USD,Buy,,0.1438
1768308739523934000,23,1,MarketOrder,ETH-USD,Sell,,0.21799999999999997
1768308745523934000,27,1,MarketOrder,ETH-USD,Sell,,0.3966
1768308745523934000,26,1,MarketOrder,ETH-USD,Buy,,0.23
1768308745923934000,21,1,MarketOrder,ETH-USD,Sell,,0.2114
1768308745923934000,20,1,MarketOrder,ETH-USD,Buy,,0.14200000000000002
1768308746923934000,37,1,MarketOrder,ETH-USD,Sell,,1.4118
1768308746923934000,36,1,MarketOrder,ETH-USD,Buy,,0.8112
1768308749723934000,25,1,MarketOrder,ETH-USD,Sell,,0.1796
1768308749723934000,24,1,MarketOrder,ETH-USD,Buy,,0.18
1768308755123934000,23,1,MarketOrder,ETH-USD,Sell,,0.2984
1768308755123934000,22,1,MarketOrder,ETH-USD,Buy,,0.29179999999999995
1768308756423934000,20,1,MarketOrder,ETH-USD,Buy,,0.2316
1768308756423934000,21,1,MarketOrder,ETH-USD,Sell,,0.275
1768308759923934000,34,1,MarketOrder,ETH-USD,Buy,,0.5935
1768308759923934000,35,1,MarketOrder,ETH-USD,Sell,,0.889
1768308759923934000,30,1,MarketOrder,ETH-USD,Buy,,0.989
1768308759923934000,31,1,MarketOrder,ETH-USD,Sell,,0.6645
1768308763023934000,25,1,MarketOrder,ETH-USD,Sell,,0.2012
1768308763023934000,24,1,MarketOrder,ETH-USD,Buy,,0.29479999999999995
1768308764723934000,26,1,MarketOrder,ETH-USD,Buy,,0.38220000000000004
1768308764723934000,27,1,MarketOrder,ETH-USD,Sell,,0.2084
1768308765923934000,42,1,MarketOrder,ETH-USD,Buy,,1.7530000000000001
1768308765923934000,43,1,MarketOrder,ETH-USD,Sell,,1.209
1768308766923934000,21,1,MarketOrder,ETH-USD,Sell,,0.2242
1768308766923934000,20,1,MarketOrder,ETH-USD,Buy,,0.26659999999999995
1768308770723934000,23,1,MarketOrder,ETH-USD,Sell,,0.1646
1768308770723934000,22,1,MarketOrder,ETH-USD,Buy,,0.1904
1768308775423934000,32,1,MarketOrder,ETH-USD,Buy,,0.5115
1768308775423934000,33,1,MarketOrder,ETH-USD,Sell,,0.607
1768308776323934000,25,1,MarketOrder,ETH-USD,Sell,,0.2802
1768308776323934000,24,1,MarketOrder,ETH-USD,Buy,,0.1626
1768308777423934000,21,1,MarketOrder,ETH-USD,Sell,,0.1344
1768308777423934000,20,1,MarketOrder,ETH-USD,Buy,,0.1592
1768308783923934000,27,1,MarketOrder,ETH-USD,Sell,,0.35640000000000005
1768308783923934000,26,1,MarketOrder,ETH-USD,Buy,,0.2878
1768308786323934000,23,1,MarketOrder,ETH-USD,Sell,,0.2732
1768308786323934000,22,1,MarketOrder,ETH-USD,Buy,,0.2612
1768308787923934000,21,1,MarketOrder,ETH-USD,Sell,,0.2216
1768308787923934000,20,1,MarketOrder,ETH-USD,Buy,,0.2814
1768308789623934000,24,1,MarketOrder,ETH-USD,Buy,,0.2016
1768308789623934000,25,1,MarketOrder,ETH-USD,Sell,,0.1638
1768308791923934000,31,1,MarketOrder,ETH-USD,Sell,,0.8049999999999999
1768308791923934000,30,1,MarketOrder,ETH-USD,Buy,,0.597
1768308798423934000,20,1,MarketOrder,ETH-USD,Buy,,0.2176
1768308798423934000,21,1,MarketOrder,ETH-USD,Sell,,0.1264
1768308801923934000,22,1,MarketOrder,ETH-USD,Buy,,0.1182
1768308801923934000,23,1,MarketOrder,ETH-USD,Sell,,0.21100000000000002
1768308802923934000,25,1,MarketOrder,ETH-USD,Sell,,0.2366
1768308802923934000,36,1,MarketOrder,ETH-USD,Buy,,1.4881
1768308802923934000,37,1,MarketOrder,ETH-USD,Sell,,0.8385
1768308802923934000,24,1,MarketOrder,ETH-USD,Buy,,0.1338
1768308803123934000,26,1,MarketOrder,ETH-USD,Buy,,0.3064
1768308803123934000,27,1,MarketOrder,ETH-USD,Sell,,0.3396
1768308808923934000,21,1,MarketOrder,ETH-USD,Sell,,0.2318
1768308808923934000,20,1,MarketOrder,ETH-USD,Buy,,0.2258
1768308816223934000,25,1,MarketOrder,ETH-USD,Sell,,0.1402
1768308816223934000,24,1,MarketOrder,ETH-USD,Buy,,0.185
1768308817523934000,22,1,MarketOrder,ETH-USD,Buy,,0.1628
1768308817523934000,23,1,MarketOrder,ETH-USD,Sell,,0.1796
1768308819423934000,20,1,MarketOrder,ETH-USD,Buy,,0.23879999999999998
1768308819423934000,21,1,MarketOrder,ETH-USD,Sell,,0.21200000000000002
1768308822323934000,26,1,MarketOrder,ETH-USD,Buy,,0.276
1768308822323934000,27,1,MarketOrder,ETH-USD,Sell,,0.38660000000000005
1768308822923934000,34,1,MarketOrder,ETH-USD,Buy,,0.98
1768308822923934000,32,1,MarketOrder,ETH-USD,Buy,,0.5615
1768308822923934000,35,1,MarketOrder,ETH-USD,Sell,,0.605
1768308822923934000,33,1,MarketOrder,ETH-USD,Sell,,0.8634999999999999
1768308823923934000,31,1,MarketOrder,ETH-USD,Sell,,0.9784999999999999
1768308823923934000,30,1,MarketOrder,ETH-USD,Buy,,0.6155
1768308827923934000,40,1,MarketOrder,ETH-USD,Buy,,1.212
1768308827923934000,41,1,MarketOrder,ETH-USD,Sell,,1.629
1768308829523934000,25,1,MarketOrder,ETH-USD,Sell,,0.227
1768308829523934000,24,1,MarketOrder,ETH-USD,Buy,,0.1896
1768308829923934000,20,1,MarketOrder,ETH-USD,Buy,,0.1394
1768308829923934000,21,1,MarketOrder,ETH-USD,Sell,,0.1756
1768308833123934000,23,1,MarketOrder,ETH-USD,Sell,,0.182
1768308833123934000,22,1,MarketOrder,ETH-USD,Buy,,0.1496
1768308840423934000,21,1,MarketOrder,ETH-USD,Sell,,0.2062
1768308840423934000,20,1,MarketOrder,ETH-USD,Buy,,0.243
1768308841523934000,26,1,MarketOrder,ETH-USD,Buy,,0.3306
1768308841523934000,27,1,MarketOrder,ETH-USD,Sell,,0.22740000000000002
1768308842823934000,25,1,MarketOrder,ETH-USD,Sell,,0.1066
1768308842823934000,24,1,MarketOrder,ETH-USD,Buy,,0.2112
1768308843923934000,50,1,MarketOrder,ETH-USD,Buy,,3.372
1768308843923934000,51,1,MarketOrder,ETH-USD,Sell,,2.342
1768308848723934000,23,1,MarketOrder,ETH-USD,Sell,,0.1086
1768308848723934000,22,1,MarketOrder,ETH-USD,Buy,,0.22519999999999998
1768308850923934000,21,1,MarketOrder,ETH-USD,Sell,,0.17880000000000001
1768308850923934000,20,1,MarketOrder,ETH-USD,Buy,,0.29579999999999995
1768308855923934000,31,1,MarketOrder,ETH-USD,Sell,,0.555
1768308855923934000,30,1,MarketOrder,ETH-USD,Buy,,0.8200000000000001
1768308856123934000,24,1,MarketOrder,ETH-USD,Buy,,0.1192
1768308856123934000,25,1,MarketOrder,ETH-USD,Sell,,0.20479999999999998
1768308858923934000,37,1,MarketOrder,ETH-USD,Sell,,1.4097
1768308858923934000,36,1,MarketOrder,ETH-USD,Buy,,1.3166
1768308860723934000,26,1,MarketOrder,ETH-USD,Buy,,0.24480000000000002
1768308860723934000,27,1,MarketOrder,ETH-USD,Sell,,0.2348
1768308861423934000,20,1,MarketOrder,ETH-USD,Buy,,0.1104
1768308861423934000,21,1,MarketOrder,ETH-USD,Sell,,0.24559999999999998
1768308864323934000,22,1,MarketOrder,ETH-USD,Buy,,0.182
1768308864323934000,23,1,MarketOrder,ETH-USD,Sell,,0.2142
1768308869423934000,25,1,MarketOrder,ETH-USD,Sell,,0.2612
1768308869423934000,24,1,MarketOrder,ETH-USD,Buy,,0.1884
1768308870423934000,33,1,MarketOrder,ETH-USD,Sell,,0.8685
1768308870423934000,32,1,MarketOrder,ETH-USD,Buy,,0.9079999999999999
1768308871923934000,21,1,MarketOrder,ETH-USD,Sell,,0.24159999999999998
1768308871923934000,20,1,MarketOrder,ETH-USD,Buy,,0.1058
1768308879923934000,22,1,MarketOrder,ETH-USD,Buy,,0.21339999999999998
1768308879923934000,23,1,MarketOrder,ETH-USD,Sell,,0.1806
1768308879923934000,26,1,MarketOrder,ETH-USD,Buy,,0.27
1768308879923934000,27,1,MarketOrder,ETH-USD,Sell,,0.37860000000000005
1768308882423934000,20,1,MarketOrder,ETH-USD,Buy,,0.2402
1768308882423934000,21,1,MarketOrder,ETH-USD,Sell,,0.24239999999999998
1768308882723934000,24,1,MarketOrder,ETH-USD,Buy,,0.2768
1768308882723934000,25,1,MarketOrder,ETH-USD,Sell,,0.17980000000000002
1768308885923934000,34,1,MarketOrder,ETH-USD,Buy,,0.9005000000000001
1768308885923934000,35,1,MarketOrder,ETH-USD,Sell,,0.5965
1768308887923934000,30,1,MarketOrder,ETH-USD,Buy,,0.9470000000000001
1768308887923934000,31,1,MarketOrder,ETH-USD,Sell,,0.7795000000000001
1768308891923934000,42,1,MarketOrder,ETH-USD,Buy,,1.189
1768308891923934000,43,1,MarketOrder,ETH-USD,Sell,,1.06
1768308892923934000,20,1,MarketOrder,ETH-USD,Buy,,0.1866
1768308892923934000,21,1,MarketOrder,ETH-USD,Sell,,0.1114
1768308895523934000,22,1,MarketOrder,ETH-USD,Buy,,0.1414
1768308895523934000,23,1,MarketOrder,ETH-USD,Sell,,0.1992
1768308896023934000,25,1,MarketOrder,ETH-USD,Sell,,0.29079999999999995
1768308896023934000,24,1,MarketOrder,ETH-USD,Buy,,0.1452
1768308899123934000,26,1,MarketOrder,ETH-USD,Buy,,0.3562
1768308899123934000,27,1,MarketOrder,ETH-USD,Sell,,0.3304
1768308903423934000,21,1,MarketOrder,ETH-USD,Sell,,0.1312
1768308903423934000,20,1,MarketOrder,ETH-USD,Buy,,0.2904
1768308909323934000,24,1,MarketOrder,ETH-USD,Buy,,0.2904
1768308909323934000,25,1,MarketOrder,ETH-USD,Sell,,0.2532
1768308911123934000,23,1,MarketOrder,ETH-USD,Sell,,0.28859999999999997
1768308911123934000,22,1,MarketOrder,ETH-USD,Buy,,0.1416
1768308912923934000,52,1,MarketOrder,ETH-USD,Buy,,3.206
1768308912923934000,53,1,MarketOrder,ETH-USD,Sell,,4.936
1768308913923934000,21,1,MarketOrder,ETH-USD,Sell,,0.1928
1768308913923934000,20,1,MarketOrder,ETH-USD,Buy,,0.2616
1768308914923934000,36,1,MarketOrder,ETH-USD,Buy,,1.2053
1768308914923934000,37,1,MarketOrder,ETH-USD,Sell,,1.0849
1768308917923934000,33,1,MarketOrder,ETH-USD,Sell,,0.9065
1768308917923934000,32,1,MarketOrder,ETH-USD,Buy,,0.654
1768308918323934000,26,1,MarketOrder,ETH-USD,Buy,,0.23820000000000002
1768308918323934000,27,1,MarketOrder,ETH-USD,Sell,,0.3068
1768308919923934000,30,1,MarketOrder,ETH-USD,Buy,,0.9695
